word,definition,ner,root_word,pos
WEDNESDAY,day of week before Thursday and following Tuesday,,wednesday,NN
MAY,"fifth month of year, in northern hemisphere",,may,MD
BREACH,break through wall or barrier,,breach,NN
CERTIFIED,officially recognized as possessing certain qualifications,,certified,VBN
SILVER,precious shiny greyish-white metal,,silver,NN
ACROSS,from one side to other of,,across,IN
CALL,contact or attempt to contact (a person or number) by phone,,call,NN
ADEQUATE,satisfactory or acceptable in quality or quantity,,adequate,NN
TRUE,in accordance with fact or reality,,true,JJ
COURSES,series of lectures,,course,NNS
HAPPEN,take place,,happen,VB
ARAB,"member of Semitic people, originally from Arabian peninsula and neighbouring territories",I-MISC,arab,NN
STROKE,sudden disabling attack or loss of consciousness caused by interruption in flow of blood to brain,,stroke,NN
HE,man or boy previously mentioned or easily identified,,he,PRP
ADVANCED,far on or ahead in development or progress,,advanced,JJ
EVALUATE,"form idea of amount, number, or value of",,evaluate,NN
AIRS,an affectation of superiority from attention,,air,NNS
ARTICLE,piece of writing,,article,NN
POSITIVE,greater than zero,,positive,JJ
ACCESSIBLE,able to be entered,,accessible,JJ
BIRTH,give birth to baby etc.,,birth,NN
ABHOR,regard with disgust and hatred,,abhor,NN
COMMON,occurring or done often,,common,JJ
FIRST,foremost in position or importance,,first,RB
BLACK,of darkest colour,,black,JJ
HIDE,put or keep out of sight,,hide,NN
AMATEURISH,done in unskilful or inept way,,amateurish,JJ
PREVIOUS,existing or occurring before in time or order,,previous,JJ
ACTIONS,processes of doing something,,action,NNS
KIND,group of people or things having similar characteristics,,kind,NN
DARK,with little or no light,,dark,NN
USA,United States of America,I-LOC,usa,NN
CLAM,marine bivalve mollusc with shells of equal size,I-MISC,clam,NN
CALM DOWN,"to become less excited, intense or angry",,calm down,NN
TERRITORY,"(especially in the US, Canada, or Australia) an organized division of a country that is not yet admitted to the full rights of a state",,territory,NN
COME,move towards speaker,,come,VB
EMPIRE,"an extensive group of states or countries ruled over by a single monarch, an oligarchy, or a sovereign state",,empire,NN
ADMINISTRATOR,person responsible for carrying out administration of business or organization,,administrator,NN
SMALL,of size that is less than normal or usual,,small,JJ
X,twenty-fourth letter of alphabet,,x,NN
SCISSORS,"instrument used for cutting material, consisting of two blades laid one on top of other",,scissors,NNS
ADULT,fully developed person,,adult,NN
COMPETITION,activity of striving to gain something by defeating others,,competition,NN
SNEEZING,act or sound of expelling air from nose in such way,,sneezing,VBG
DIFFERENT,"not the same as another or each other; unlike in nature, form, or quality",,different,JJ
DIFFERENT,not same as another or each other,,different,JJ
ACCOUNTANT,person whose job is to keep or inspect financial accounts,,accountant,NN
BAR,"counter in public house, restaurant, or cafe",,bar,NN
DOWNTOWN,in or relating to central part or main business and commercial area of town or city,I-LOC,downtown,NN
GLOBAL,relating to whole world,,global,JJ
WRITE,compose text or work for written or printed reproduction or publication,,write,NN
APPETIZING,stimulating one's appetite,,appetizing,VBG
NAVIGATION MENU,a list of links to other pages on a website,,navigation menu,NN
ALLEVIATE,"make suffering, deficiency, or problem less severe",,alleviate,NN
CAPE TOWN,legislative capital of South Africa and administrative capital of province of Western Cape,I-LOC,cape town,NN
BITING,so cold as to be painful,,biting,NN
CALIFORNIA,"state of US, on Pacific coast",I-LOC,california,NN
TRADE,exchange something for something else,,trade,NN
GLASS,drinking container,,glass,NN
AFFLUENT,having great deal of money,,affluent,NN
EVERY,used before singular noun to refer to all individual members of set without exception,,every,DT
N,fourteenth letter of alphabet,,n,NN
GO INSIDE,to enter a room or building,,go inside,NN
BARING,uncover (a part of the body or other thing) and expose it to view.,,baring,NN
ALL SET,everything is ready or finished,,all set,NN
SOCIETY,organization or club formed for particular purpose or activity,,society,NN
5 HAND,five hand classifier,,5 hand,CD
OPPOSITE,completely different,,opposite,NN
LOVE,strong feeling of affection,,love,NN
ARMOR,metal covering worn in battle,,armor,NN
ROUTINE,sequence of actions regularly followed,,routine,NN
BALLOON,small inflated rubber bag,,balloon,NN
FRIDGE,refrigerator,,fridge,NN
SHOW UP,arrive or turn up for appointment or gathering,,show up,NN
INTELLIGENCE,ability to acquire and apply knowledge,,intelligence,NN
AWS,"Amazon Web Services, Inc. is a subsidiary of Amazon that provides on-demand cloud computing platforms and APIs to individuals, companies, and governments, on a metered, pay-as-you-go basis",I-ORG,aws,NNS
BAKED CHICKEN,a chicken baked in the oven,,baked chicken,NN
PARENT,father or mother,,parent,NN
FEEL,experience emotion or sensation,,feel,NN
LEAVE,go away from,,leave,VB
MAKE,form something,,make,VB
AND,"used to connect words of same part of speech, clauses, or sentences",,and,CC
BEWILDERING,cause to become perplexed and confused,,bewildering,NN
ACCOMPLISHMENT,thing achieved,,accomplishment,NN
FOREST,large area covered with trees,,forest,NN
SELF,person's essential being that distinguishes them from others,,self,NN
SNAP,"sudden, sharp cracking sound or movement",,snap,NN
BUSTED-LIP,"harmed, damaged, or impaired lip",,busted-lip,NN
ROUND,shaped like circle or cylinder,,round,NN
VIRTUAL,not physically existing as such but made by software,,virtual,JJ
LEAN,be in sloping position,,lean,NN
AKIN,of similar character,I-PER,akin,NN
SELL,act of selling or attempting to sell something,,sell,NN
LINES,a bunch of long mark or band,,line,NNS
LESSON,period of learning or teaching,,lesson,NN
BUCK,a dollar,,buck,NN
LESSEN,make or become less,,lessen,NN
CLICK,select (an option on an electronic interface) by pressing a button or touching a screen,,click,NN
X-RAY,photographic or digital image of internal composition of something produced by X-rays being passed through it,,x-ray,NN
FATHER-IN-LAW,father of one's husband or wife,,father-in-law,NN
SANDAL,light shoe with either openwork upper or straps attaching sole to foot,,sandal,NN
WITH,accompanied by,,with,IN
POSITIVE,constructive or confident,,positive,JJ
COMPROMISE,settle a dispute by mutual concession,,compromise,NN
RIGHTS,moral or legal entitlement to have or do something,,right,NNS
BEWARE,be cautious and alert to risks or dangers,,beware,NN
ROLE,"actor's part in play, film",,role,NN
BUFFALO,heavily built wild ox,,buffalo,NN
UNDERSTANDING,ability to understand something,,understanding,VBG
WHO,what or which person or people,,who,WP
AUTONOMOUS,(of country or region) having freedom to govern itself,,autonomous,JJ
ASTRONAUT,person who is trained to travel in spacecraft,,astronaut,NN
AFFECT,have an effect on; make a difference to,,affect,NN
NEBRASKA,state in central US to west of Missouri River,I-LOC,nebraska,NN
ANY,referring to one or some of thing or things,,any,DT
BOUNDLESS,unlimited or immense,,boundless,NN
ANNOUNCER,person who announces something,,announcer,NN
CLICK,press mouse button,,click,NN
GLOBALLY,in way that relates to whole world,,globally,RB
WILL,expressing request,,will,MD
LIBERTY,"the state of being free within society from oppressive restrictions imposed by authority on one's way of life, behaviour, or political views",,liberty,NN
ARCHITECT,person who designs buildings and in many cases also supervises their construction,,architect,NN
BUILD,construct by putting things together,,build,NN
COMPONENTS,parts or element of larger whole,,component,NNS
DEMAND,insistent request,,demand,NN
THINGS,"objects that one need not, cannot, or does not wish to give specific name",,thing,NNS
WE,used by speaker to refer to himself or herself and one or more other people considered together,,we,PRP
AIRCRAFT CABIN,the section of an aircraft in which passengers travel,,aircraft cabin,NN
ACCESSORIES,additional items,,accessory,NNS
YOU HEARING OR DEAF,Asking if a person is hearing or Deaf,,you hearing or deaf,NN
CLOUD,mass of condensed watery vapour,,cloud,NN
EARTH,our planet,I-LOC,earth,NN
LOOK BACK,think of past,,look back,NN
DATA SET,collection of related sets of information that is composed of separate elements but can be manipulated as unit by computer,,data set,NN
BIG,of great size or extent,,big,JJ
PLUS,with addition of,,plus,CC
ADVANCE,make progress,,advance,NN
SUBTRACTION,process or skill of taking one number or amount away from another,,subtraction,NN
AXE,tool for chopping wood,,axe,NN
HOT,having high temperature,,hot,JJ
PARAGRAPH,"a distinct section of a piece of writing, usually dealing with a single theme and indicated by a new line, indentation, or numbering",,paragraph,NN
OF,expressing relationship between part and whole,,of,IN
LENIENT,more merciful or tolerant than expected,,lenient,NN
HEALTH,state of being free from illness or injury,,health,NN
RAMADAN,ninth month of Muslim year,I-MISC,ramadan,NN
PAY AS YOU GO,"give money for work, goods, etc.",,pay as you go,NN
BACKUP,"to move backwards, or start over in conversation",,backup,NN
HARD WORKING,(of a person) tending to work with energy and commitment; diligent,,hard working,VBG
ARCHIVES,collection of documents,,archive,NNS
1820,The year 1820,,1820,CD
MARYLAND,"state of eastern US, on Atlantic coast",I-LOC,maryland,NN
NEXT,coming after in time,,next,JJ
FUNDAMENTAL,central rule or principle,,fundamental,JJ
MISSOURI,"a major river of North America, one of the main tributaries of the Mississippi River. It rises in the Rocky Mountains in Montana and flows 3,736 km (2,315 miles) to meet the Mississippi just north of St Louis",I-LOC,missouri,NN
PARTNER,member of couple,,partner,NN
ABRUPTLY,suddenly and unexpectedly,,abruptly,RB
AUDACITY,willingness to take bold risks,,audacity,NN
AMERICAN,a native or citizen of the United States,I-MISC,american,JJ
BECOME,begin to be,,become,NN
AGREE,consent to,,agree,NN
ARGUE,"give reasons or cite evidence in support of idea, action, or theory",,argue,NN
HUSBAND,married man considered in relation to his spouse,,husband,NN
AMAZING,causing great surprise or wonder,,amazing,VBG
BOUGHT,obtain in exchange for payment,,bought,NN
CARPENTER,person who makes and repairs wooden objects and structures,,carpenter,NN
BLIZZARD,severe snowstorm with high winds,I-MISC,blizzard,NN
SAD,feeling or showing sorrow,,sad,NN
WILL,expressing future tense,,will,MD
WE,used by speaker to refer to himself or herself and one or more other people considered together,,we,PRP
ITALY,country in southern Europe,I-LOC,italy,NN
AVAILABLE,able to be used or obtained,,available,JJ
REPETITIVE,containing repetition,,repetitive,NN
HAVE,"possess, own, or hold",,have,VB
TIME,indefinite continued progress of existence,,time,NN
PIZZA,"dish of Italian origin, consisting of flat round base of dough baked with topping of tomatoes and cheese",,pizza,NN
WARM,of or at fairly or comfortably high temperature,,warm,NN
BLACK,of darkest colour,,black,JJ
AGAIN,once more,,again,RB
VIDEOS,"system of recording, reproducing, or broadcasting moving visual images",,video,NNS
ROW,a number of people or things in a more or less straight line,,row,NN
OKLAHOMA,state in south central US,I-LOC,oklahoma,NN
PREFER,like one thing or person better than another or others,,prefer,NN
ADS,advertisements,,ad,NNS
RELEASE,allow or enable to escape from confinement,,release,NN
TEMPERATURE,degree or intensity of heat present in substance or object,,temperature,NN
POLITICAL,relating to the government or the public affairs of a country,,political,JJ
LAWYER,person who practises law,,lawyer,NN
COOL,of low temperature,,cool,NN
FORECAST,predict or estimate,,forecast,NN
FAST,at high speed,,fast,NN
VERMONT,"state in north-eastern US, on border with Canada",I-LOC,vermont,NN
RIDERS,"people who are riding or who can ride a horse, bicycle, motorcycle, etc",,rider,NNS
COOKING,process of preparing food by combining and heating ingredients,,cooking,NN
WANT,have a desire for something,,want,NN
SHE,"used to refer to woman, girl, or female animal",,she,PRP
MOVIE THEATER,a building in which films are shown,,movie theater,NN
CLOUD BASED,dependant on cloud servers,,cloud based,VBN
LAWS,system of rules in country or community,,law,NNS
CANDY,confectionery,,candy,NN
ACCEPT,consent to receive or undertake (something offered),,accept,NN
NOW,at present time,,now,RB
BREAD,baked food made from flour,,bread,NN
MOVE AWAY,change position,,move away,NN
FIT,be right shape and size for,,fit,NN
INTRODUCTION,bringing of something into use for first time,,introduction,NN
DEMOCRATIC,relating to or supporting democracy or its principles,I-MISC,democratic,JJ
Y,twenty-fifth letter of alphabet,,y,NN
AFTER,in time following,,after,IN
OFTEN,frequently,,often,RB
NOSY,showing too much curiosity about other people's affairs,I-PER,nosy,NNS
ASL,American Sign Language,I-MISC,asl,NN
WEAR VEST,have a vest on one's body as clothing or protection,,wear vest,JJS
DISAPPEAR,cease to be visible,,disappear,NN
