word,definition
CATEGORY,class or division of people or things regarded as having particular shared characteristics
ARTISTIC,having or revealing natural creative skill
AFFECTION,feeling
AVOCADO,pear-shaped fruit with smooth oily flesh
ILLINOIS,state in eastern central US
AREAS,regions
YEARS,time taken by earth to make one revolution around sun
BARK,cry of dog
T,the twentieth letter of the alphabet
AND,"used to connect words of same part of speech, clauses, or sentences"
RIGHT,"on, towards, or relating to side of human body or of thing which is to east"
CENTER,middle of circle or sphere
ALTHOUGH,in spite of fact that
CONTINUE,persist in activity
QUESTION,sentence worded or expressed so as to elicit information
COUGH,expel air from lungs
ABLAZE,burning fiercely
BUTTON,small disc sewn on garment
ACCIDENT,unexpected incident
PERSPECTIVE,point of view
GONE,past participle of go
CORN,cereal crop
SKIRT,woman's outer garment fastened around waist
BANK,financial establishment
VETERINARIAN,a person qualified to treat diseased or injured animals; a veterinary surgeon
CHILL,"relax, calm"
HATERS,people who greatly dislikes a specified person or thing
IT,information technology
PART,some but not all of something
ELEMENTS,essential or characteristic part
AFTER,in time following
HOPE,desire for thing to happen
EXCEPT,not including
ASL,American Sign Language
FLYING DEBRIS,flying scattered pieces of rubbish or remains
FLEXIBLE,capable of bending easily without breaking
TIP,pointed or rounded end or extremity of something slender or tapering
HONEST,truthful and sincere
TODAY,on or in course of this present day
QUOTE,quotation from text or speech
FENCING,sport of fighting with swords
AVOID,keep away from
PLATE,flat dish for food
GLOBAL,relating to whole world
MEAN,intend to refer to particular thing
POINT,"a particular spot, place, or position in an area or on a map, object, or surface"
INTERACT,act in such way as to have effect on each other
THURSDAY,day of week before Friday and following Wednesday
MISSED,past tense: missed; past participle: missed
PUT,place in particular position
BROOMSTICK,"a brush with twigs at one end and a long handle, on which witches are said to fly"
BELT,strip of material worn round waist
AUDIO,"sound, especially when recorded, transmitted, or reproduced"
TURTLENECK,high neck on knitted garment
DATABASE,structured set of data held in computer
SYMBOL,thing that represents for something else
CLOUD,mass of condensed watery vapour
MADE,past and past participle of make
PERMIT,give authorization or consent to (someone) to do something
STARS,fixed luminous point in night sky which is
MEDICINE,science of diagnosis and treatment of disease
BLAME,declare someone to be responsible for
BLOW MY MIND,impress or otherwise affect someone very strongly.
CAGE,a structure of bars or wires in which birds or other animals are confined
BIGGER,of great size or extent
DEBT,sum of money that is owed or due
FRANCE,country in western Europe
EVACUATE,remove from dangerous place
THROUGH,continuing or valid to final destination
BARGAIN,agreement about future action
ANSWER,thing said in response to another
ADD,join something to something
HAVE,"possess, own, or hold"
WATCHED,look at or observe attentively over period of time
ME WHO?,used by speaker to refer to himself or herself as object of verb or preposition
MANAGE,"be in charge of a business, organization, or undertaking run."
SNOWBOARDING,sport or pastime of sliding downhill on snowboard
FLYING DEBRIS,flying scattered pieces of rubbish or remains
STRONG,able to withstand force or wear
FINISH,complete task or activity
CLICK,press of mouse button
FEELING,showing emotion or sensitivity
PEOPLE,human beings
LINKEDIN,social media site for networking among workplaces for professionals
BLUNDER,stupid or careless mistake
HERE,indicating time that has arrived
ABSURDITY,quality or state of being ridiculous or wildly unreasonable
UMBRELLA,device consisting of circular canopy of cloth on folding metal frame
LAUNCH,act of launching
REQUIRED,"officially compulsory, or otherwise considered essential"
SOLDIER,person who serves in army
HEALTHY,in good health
POINT,"a particular spot, place, or position in an area or on a map, object, or surface"
FLASH,move very quickly
REVIEW,formal assessment of something with intention of instituting change if necessary
ACCEPT,consent to receive or undertake
REMOTE,remote control device
LOUD,producing much noise
INNOVATIVE,featuring new methods
SUPPORT,give assistance to
CHOCOLATE,food made from cacao seeds
BITTERSWEET,sweet with bitter aftertaste
MY,belonging to speaker
SUCCESS,accomplishment of aim or purpose
EVACUATION,action of evacuating
RECORDS,thing constituting piece of evidence about past
EMPHASIZE,give special importance or value to something in speaking or writing
POND,small body of still water
AMAZON,an online retail company that sells many goods
PROFIT,obtain financial profit
ANCIENT,of very distant past
BREAK UP,the end of a relationship
MONTANA,"state in western US, on Canadian border to east of Rocky Mountains"
ASL INTERPRETER,person who interprets american sign language
WORRY,state of being anxious and troubled
ARROGANT,having or revealing exaggerated sense of one's own importance
LABOR DAY,"a public holiday in the US and Canada on the first Monday of September, in honour of working people"
BOTH,"used for emphasis to refer to two people or things, regarded and identified together"
AUSTIN,state capital of Texas
AT LAST,in end
COMFORT,console
DON'T LIKE,don't find agreeable or enjoyable
GET RID,make person or thing free of
MISSING,not able to be found
PRINTER,"a machine for printing text on paper, especially one connected to a computer"
START,begin or be reckoned from particular point in time or space
APPLE JUICE,extract juice from fruit etc.
ALRIGHT,of satisfactory or acceptable quality
THEY,used to refer to two or more people or things previously mentioned or easily identified
ALERT,vigilant
HYBRID,thing made by combining two different elements
TRAGEDY,"an event causing great suffering, destruction, and distress, such as a serious accident, crime, or natural catastrophe"
AIM,point thing at target
TAP,strike with quick light blow or blows
PAST,gone by in time
NEGATIVE,less than zero
SOUTH KOREA,"country in East Asia, occupying southern part of peninsula of Korea"
FILES,folder or box for holding loose papers
TEA,hot drink made from leaves of tea plant
MUST,be obliged to
BOYFRIEND,person's regular male companion with whom they have romantic or sexual relationship
BELL,hollow metal object
ATHEIST,person who disbelieves in existence of God
TECHNOLOGY,application of scientific knowledge for practical purposes
LOCATION,place or position
BREAST,either of two organs on woman's chest
BATHTUB,bath
DISTRACTING,preventing concentration or diverting attention
TICKET,issue someone with official notice of traffic offence
ABSURD,wildly unreasonable or inappropriate
ONLY,solely
GOSSIP,engage in gossip
GIVE,transfer possession of something to
3 HAND 1,listing 1 out of 3
FIND,discover by chance or unexpectedly
PARK,leave car temporarily
NEXT LESSON,the lesson coming after present one in order
COMPASSION,sympathetic pity and concern for sufferings or misfortunes of others
ABYSMAL,extremely bad
CLASS,group of students taught together
TOPIC,matter dealt with in text or conversation
BLOOD,red liquid circulating in veins
REPETITIVE,containing repetition
SWIM,"propel body through water by using limbs, or by using fins, tail"
DAY,period of twenty-four hours
GREEN,coloured like grass
SOME,unspecified amount or number of
WHISTLE,"clear, high-pitched sound"
SCIENTIST,person who is studying or has expert knowledge of one or more of natural or physical sciences
MADE,past and past participle of make
ASHAMED,embarrassed or guilty because of one's actions or associations
PROVIDE,supply
CHICKEN,domestic fowl
BADMINTON,game in which shuttlecock is hit back and forth across net
AVALANCHE,mass of sliding snow
THAN,except
MACHINE,mechanical apparatus
BAG,flexible container with opening at top
TAB,a restaurant bill
HACKERS,people who uses computers to gain unauthorized access
MUCH,large amount of
MOSQUITO,slender long-legged fly with aquatic larvae
